retain_mechanism,distance,n_pairs,share_switch_reaches_target_b,mean_primary_gap_abs,mean_scs,mean_rai
history,1,36,0.2222,0.1667,0.7963,0.0809
history,2,54,0.2037,0.375,0.647,0.1852
history,3,34,0.1765,0.5221,0.5199,0.2653
history,4,8,0.125,0.8125,0.3454,0.4328
summary,1,36,0.8889,0.0278,0.9041,-0.1371
summary,2,54,0.9074,0.0324,0.8871,-0.2995
summary,3,34,0.8824,0.0515,0.8877,-0.47
summary,4,8,0.625,0.0938,0.8494,-0.5592
